,Title,Summary,Link,Time,Section,Subsection,Category
0,California Man Sentenced for Keeping 15-Year-Old Captive,One of two men charged with imprisoning a 15-year-old girl in a metal box at their Northern California marijuana farm was sentenced Wednesday to 31 years in federal prison.,https://www.nytimes.com/aponline/2019/07/10/us/ap-us-california-girl-held-captive.html,2019-07-11T00:57:49+0000,U.S.,U.S.,California Man
1,F.B.I. Arrests California Man After Threats to Kill Boston Globe Employees,"According to the F.B.I., the California man made a series of menacing phone calls to The Boston Globe, calling the newspaper an “enemy of the people.”",https://www.nytimes.com/2018/08/30/us/politics/fbi-threat-boston-globe.html,2018-08-30T16:19:02+0000,U.S.,U.S.,California Man
3,"Russians Bought Bank Accounts From California Man, Mueller Says","A California man illegally provided hundreds of bank account numbers to a Russian social media operation, the special counsel revealed.",https://www.nytimes.com/2018/02/16/us/politics/richard-pinedo-russia-bank-accounts-guilty-plea-mueller.html,2018-02-16T20:32:48+0000,U.S.,U.S.,California Man
49,California man charged with capital murder of Saudi college student,A 28-year-old man was charged Monday with murdering a college student from Saudi Arabia whose remains were found alongside a freeway in California. Rough Cut (no reporter narration).,https://www.nytimes.com/video/multimedia/100000003187634/california-man-charged-with-capital-murder-of-saudi-college-stud.html,2014-10-21T01:59:01+0000,Multimedia/Photos,Multimedia/Photos,California Man
57,California man pleads not guilty in decade long kidnapping case,"Isidro Garcia pleads not guilty to charges relating to the rape and kidnapping of a 15-year-old girl, whom prosecutors allege he kept captive for a decade. Phil Furey reports.",https://www.nytimes.com/video/multimedia/100000002930012/california-man-pleads-not-guilty-in-decade-long-kidnapping-case.html,2014-06-10T01:39:22+0000,Multimedia/Photos,Multimedia/Photos,California Man
80,California Man’s ‘Drug Holiday’ Becomes Four-Day Nightmare in Holding Cell,"Daniel Chong, a University of California student, was swept up in a Drug Enforcement Administration raid and placed in a holding cell, where he said he was forgotten for four days, without food or water.",https://www.nytimes.com/2012/05/03/us/daniel-chong-left-for-days-in-holding-cell.html,2012-05-03T01:13:04+0000,U.S.,U.S.,California Man
98,California Man Shoots 4 People and Himself,San Bernardino authorities said the shooter was the stepfather of one of the victims; the other victims were her husband and two sons.,https://www.nytimes.com/2010/06/20/us/20calif.html,2010-06-20T03:02:51+0000,U.S.,U.S.,California Man
100,California Man Pleads Guilty in Swiss Bank Case,A California man on Tuesday formally pleaded guilty to failing to report more than $1 million he transferred to a Swiss bank account.,https://dealbook.blogs.nytimes.com/2009/10/21/blogs/21dealbook-calif-ma131751.html,2009-10-21T10:20:45+0000,Blogs,Blogs,California Man
101,California Man Pleads Guilty in Swiss Bank Case,A California man on Tuesday formally pleaded guilty to failing to report more than $1 million he transferred to a Swiss bank account.,https://dealbook.nytimes.com/2009/10/21/calif-man-pleads-guilty-in-swiss-bank-case/,2009-10-21T10:20:45+0000,Business Day,Business Day,California Man
136,Supreme Court Upholds Death Sentence of California Man,Five justices rejected the defendant’s complaints about how the jurors were instructed.,https://www.nytimes.com/2006/11/13/washington/14scotuscnd.html,2006-11-13T05:00:00+0000,Washington,Washington,California Man
138,California man held in anti-terror case is acquitted - Americas - International Herald Tribune,,https://www.nytimes.com/2006/11/19/world/americas/19iht-trial.3590707.html,2006-10-19T05:00:00+0000,World,World,California Man
210,California Man Arrested in Death of Wife,"Scott Peterson is arrested and faces murder charges in death of pregnant wife, Laci, and fetus; California Atty Gen Bill Lockyer says skeletal remains of woman and fetus found in San Francisco Bay are those of Mrs Peterson and her unborn baby, new...",https://www.nytimes.com/2003/04/19/us/california-man-arrested-in-death-of-wife.html,2003-04-19T05:00:00+0000,U.S.,U.S.,California Man
246,California Man Charged In Airline Bomb Threat,Mohamed Hassan Helal is charged with making terrorist threats on Continental Airlines flight at Newark International Airport (S),https://www.nytimes.com/1999/12/23/nyregion/metro-news-briefs-new-jersey-california-man-charged-in-airline-bomb-threat.html,1999-12-23T05:00:00+0000,New York,New York,California Man
278,A California Man Earns Distinction for the Ages,"Interview with Christian Mortensen, 114-year-old resident of San Rafael, Calif, who expects to be recognized as oldest person in world now that Jean Calment of France has died at age of 122; photo of Mortensen smoking a cigar (M)",https://www.nytimes.com/1997/08/05/us/a-california-man-earns-distinction-for-the-ages.html,1997-08-05T05:00:00+0000,U.S.,U.S.,California Man
285,California Man Presses Free-Speech Suit Over Arrest at Bronx Presidential Debate,"Larry Agran, former Irvine, Calif, Mayor who waged cerebral, if quixotic campaign as Presidential candidate in 1992 Democratic primaries, has filed $5 million lawsuit against New York City and others, accusing them of violating his constitutional ...",https://www.nytimes.com/1996/08/28/nyregion/california-man-presses-free-speech-suit-over-arrest-at-bronx-presidential-debate.html,1996-08-28T05:00:00+0000,New York,New York,California Man
330,California Man Found Guilty in Killings of 16,,https://www.nytimes.com/1989/05/13/us/california-man-found-guilty-in-killings-of-16.html,1989-05-13T05:00:00+0000,U.S.,U.S.,California Man
368,WALKER BROTHER AND CALIFORNIA MAN INDICTED ON ESPIONAGE CHARGES,,https://www.nytimes.com/1985/06/18/us/walker-brother-and-california-man-indicted-on-espionage-charges.html,1985-06-18T05:00:00+0000,U.S.,U.S.,California Man
375,California Man Learns He May Be an Heir,,https://www.nytimes.com/1984/09/23/us/around-the-nation-california-man-learns-he-may-be-an-heir.html,1984-09-23T05:00:00+0000,U.S.,U.S.,California Man
378,"MAN IS ARRESTED IN AUTHOR'S SLAYING, THEN FREED DALY CITY, Calif., Nov. 29 (UPI) - A California man who was arrested two days ago in connection with the slaying of a Chinese author, was released today when prosecutors said there was not enough evidence to hold him.",,https://www.nytimes.com/1984/11/30/us/man-arrested-author-s-slaying-then-freed-daly-city-calif-nov-29-upi-california.html,1984-11-30T05:00:00+0000,U.S.,U.S.,California Man
409,California Man Is Accused Of Murdering Jews in Latvia,,https://www.nytimes.com/1981/01/30/us/around-the-nation-california-man-is-accused-of-murdering-jews-in-latvia.html,1981-01-30T05:00:00+0000,U.S.,U.S.,California Man
410,"CALIFORNIA MAN, 49, FOUND GUILTY IN 1980 ABDUCTION OF BOY, THEN 5",,https://www.nytimes.com/1981/06/30/us/california-man-49-found-guilty-in-1980-abduction-of-boy-then-5.html,1981-06-30T05:00:00+0000,U.S.,U.S.,California Man
414,California Man Is Given 8 Months For Breaking Spousal Rape Law,,https://www.nytimes.com/1980/09/04/archives/california-man-is-given-8-months-for-breaking-spousal-rape-law.html,1980-09-04T05:00:00+0000,Archives,Archives,California Man
421,Around the Nation; Ukrainian Boy's Parents File Suit Over U.S. Asylum 2 Men Get 5-Year Terms In Alien-Smuggling Case $16 Million Marijuana Cache Seized on Island Off Maine California Man Is Sought In Threat to Nevada Casino ,,https://www.nytimes.com/1980/10/21/archives/around-the-nation-ukrainian-boys-parents-file-suit-over-us-asylum-2.html,1980-10-21T05:00:00+0000,Archives,Archives,California Man
433,California Man Says Explosion Threw Him Out,survivor James Naik describes accident (S),https://www.nytimes.com/1977/03/28/archives/california-man-says-explosion-threw-him-out.html,1977-03-28T05:00:00+0000,Archives,Archives,California Man
437,California Man is Found Guilty Of Selling Secret Data to Soviet,Boyce found guilty of espionage (M),https://www.nytimes.com/1977/04/29/archives/california-man-is-found-guilty-of-selling-secret-data-to-soviet.html,1977-04-29T05:00:00+0000,Archives,Archives,California Man
460,"$250,00 Bail Upstate Is Set for California Man","E Smith is being held in lieu of $250,000 in Oneida County, NY, jail after his arrest by FBI agents on a warrant charging unlawful flight to avoid prosecution; FBI says that Los Angeles Police authorities had requested warrant for Smith's arrest a...",https://www.nytimes.com/1972/12/06/archives/25000-bail-upstate-is-set-for-california-man.html,1972-12-06T05:00:00+0000,Archives,Archives,California Man
461,California Man Indicted In Shooting Deaths of 10,"Santa Cruz County, Calif, grand jury indicts H W Mullin on Mar 14 for murder in shooting deaths of 10 persons; Mullin is imprisoned without bail and did not attend grand jury session",https://www.nytimes.com/1973/03/15/archives/california-man-indicted-in-shooting-deaths-of-10.html,1973-03-15T05:00:00+0000,Archives,Archives,California Man
474,California Man Buys A 7 Million Life Policy,,https://www.nytimes.com/1963/05/05/archives/california-man-buys-a-7-million-life-policy.html,1963-05-05T05:00:00+0000,Archives,Archives,California Man
479,DIES ABOARD AIRLINER; California Man's Death Brings Plans Back to Idlewild,,https://www.nytimes.com/1957/05/05/archives/dies-aboard-airliner-california-mans-death-brings-plans-back-to.html,1957-05-05T05:00:00+0000,Archives,Archives,California Man
480,"RELIGIOUS UNITS AIDED; 8 Institutions Get $600,000 in Will of California Man",Soc gets late J M Irvine bequest,https://www.nytimes.com/1956/08/14/archives/religious-units-aided-8-institutions-get-600000-in-will-of.html,1956-08-14T05:00:00+0000,Archives,Archives,California Man
481,COACHES PICK MENENDEZ; California Man Named Head of National Boxing Group,J Menendez elected Natl Coaches Assn pres,https://www.nytimes.com/1955/04/02/archives/coaches-pick-menendez-california-man-named-head-of-national-boxing.html,1955-04-02T05:00:00+0000,Archives,Archives,California Man
482,"JUNIOR CHAMBER ELECTS; California Man, 35 Years Old, Is Choice for President",resolutions; D J Domich new pres,https://www.nytimes.com/1953/06/13/archives/junior-chamber-elects-california-man-35-years-old-is-choice-for.html,1953-06-13T05:00:00+0000,Archives,Archives,California Man
483,California Man Dies at 114,"King, Joaquin S, 114",https://www.nytimes.com/1952/10/21/archives/california-man-dies-at-114.html,1952-10-21T05:00:00+0000,Archives,Archives,California Man
484,"NINCE DUNDEE, 4t., I HELD BOXING TITLEI; i Middleweight Champion, 1933 -to 1934, Dies in California man Invalid Since 1942","Dundee, Vince, (V Lazzaro)",https://www.nytimes.com/1949/07/28/archives/nince-dundee-4t-i-held-boxing-titlei-i-middleweight-champion-1933.html,1949-07-28T05:00:00+0000,Archives,Archives,California Man
486,California Man Is Voted 'Chemist of the Year',Prof G T Seaborg voted chemist of the yr in Chem and Engineering News (pub) natl poll,https://www.nytimes.com/1946/12/31/archives/california-man-is-voted-chemist-of-the-year.html,1946-12-31T05:00:00+0000,Archives,Archives,California Man
487,"Art Brings Block-Long Line in Fifth Ave.; California Man Leads in Awards of $25,750; AN ARTIST AND HIS PRIZE-WINNING PAINTING",Pepsi-Cola contest winners listed; illus,https://www.nytimes.com/1946/10/02/archives/art-brings-blocklong-line-in-fifth-ave-california-man-leads-in.html,1946-10-02T05:00:00+0000,Archives,Archives,California Man
488,FOUR SALES IN QUEENS; California Man Disposes of Property in Kew Gardens ,,https://www.nytimes.com/1942/12/01/archives/four-sales-in-queens-california-man-disposes-of-property-in-kew.html,1942-12-01T05:00:00+0000,Archives,Archives,California Man
489,California Man Dies at 106,"Dominguez, A, 106",https://www.nytimes.com/1941/12/21/archives/california-man-dies-at-106.html,1941-12-21T05:00:00+0000,Archives,Archives,California Man
490,PHONE CALL FOILS SUICIDE; Police Here Notified by California Man of Brother's Plan,Police thwart suicide attempt,https://www.nytimes.com/1938/08/09/archives/phone-call-foils-suicide-police-here-notified-by-california-man-of.html,1938-08-09T05:00:00+0000,Archives,Archives,California Man
491,GARDEN HOSE SAVES LIFE; It Carries Air to California Man Caught in Cavern,R Trautwein rescued in cesspool cave-in,https://www.nytimes.com/1938/01/16/archives/garden-hose-saves-life-it-carries-air-to-california-man-caught-in.html,1938-01-16T05:00:00+0000,Archives,Archives,California Man
492,MISS PISTOR IS WED TO OLIN HENRY TIMM; Montclair Reformed Church Is Setting for Her Marriage to California Man,"Timm, Olin H; A Pistor",https://www.nytimes.com/1937/06/13/archives/miss-pistor-is-wed-to-olin-henry-timm-montclair-reformed-church-is.html,1937-06-13T05:00:00+0000,Archives,Archives,California Man
493,"PENSIONER TO GET $10,000; California Man, 81, to Share in Ackerman Estate in Jersey.",81 yr old Calif switchman wins claim to estate,https://www.nytimes.com/1936/12/01/archives/pensioner-to-get-10000-california-man-81-to-share-in-ackerman.html,1936-12-01T05:00:00+0000,Archives,Archives,California Man
495,LAMSON IS SET FREE; CHARGES DISMISSED; California Man Was Tried Three Times as Slayer of His Wife.,Ct orders murder charges against husband dismissed,https://www.nytimes.com/1936/04/04/archives/lamson-is-set-free-charges-dismissed-california-man-was-tried-three.html,1936-04-04T05:00:00+0000,Archives,Archives,California Man
496,"WOMAN'S SON SOUGHT IN HATCHET SLAYING; California Man Is Charged With Belleville, Ont., Killing -- Wide Hunt Is Begun.","dies; son, H W, sought",https://www.nytimes.com/1934/10/06/archives/womans-son-sought-in-hatchet-slaying-california-man-is-charged-with.html,1934-10-06T05:00:00+0000,Archives,Archives,California Man
497,"SLAIN IN HOBO CAMP ROW.; California Man Stabbed to Death, Another Wounded -- 12 Seized.","Kennedy, J S, killed in fight between Negroes and whites at hobo camp",https://www.nytimes.com/1932/08/23/archives/slain-in-hobo-camp-row-california-man-stabbed-to-death-another.html,1932-08-23T05:00:00+0000,Archives,Archives,California Man
498,"ABANDONS CHANNEL SWIM.; Zibelmann, Legless California Man, Gives Up 12 Miles Off Dover.",abandons attempt 12 miles off Dover,https://www.nytimes.com/1932/09/11/archives/abandons-channel-swim-zibelmann-legless-california-man-gives-up-12.html,1932-09-11T05:00:00+0000,Archives,Archives,California Man
499,TOBIN SUPPORTS TUBES IN SENATORIAL BATTLE; Former Minister to Netherlands Favors California Man's Wet Platform.,Will support T Tubbs for Repub nomination for Sen from Cal,https://www.nytimes.com/1932/07/17/archives/tobin-supports-tubes-in-senatorial-battle-former-minister-to.html,1932-07-17T05:00:00+0000,Archives,Archives,California Man
500,SEIZED AS FUGITIVE ON PIER.; California Man Arrested as He Leaves Aquitania With Bride. ,,https://www.nytimes.com/1930/04/13/archives/seized-as-fugitive-on-pier-california-man-arrested-as-he-leaves.html,1930-04-13T05:00:00+0000,Archives,Archives,California Man
501,"TW0 PAY $176,903 CUSTOMS PENALTY; Mrs. Storrs Gives Check for $103,917 for Undeclared Gems and Clothing. CALIFORNIA MAN $72,986 L.A. Schwabacher of San Francisco Had Fought Case Growing Out of Arrival on Oct. 22.","Mrs F V Storrs pays $103,817, highest amt paid since 1924; L A Schwabacher pays $72,986",https://www.nytimes.com/1930/01/29/archives/tw0-pay-176903-customs-penalty-mrs-storrs-gives-check-for-103917.html,1930-01-29T05:00:00+0000,Archives,Archives,California Man
502,California Man Has a Talk With Macmillan in the Arctic,"Radio communication with D C Wallace, Cal amateur",https://www.nytimes.com/1927/10/06/archives/california-man-has-a-talk-with-macmillan-in-the-arctic.html,1927-10-06T05:00:00+0000,Archives,Archives,California Man
503,FINDS IN CALIFORNIA MAN LOST IN ALASKA; Yonkers Woman Discovers Brother Believed Killed in Snowslide Many Years Ago.,"Found in San Francisco by sister, Mrs L Sutherland, who had believed him lost in Alaska snowslide",https://www.nytimes.com/1926/11/24/archives/finds-in-california-man-lost-in-alaska-yonkers-woman-discovers.html,1926-11-24T05:00:00+0000,Archives,Archives,California Man
504,CITIZENSHIP STUDENT ARRESTED AT HIS STILL; Sheriff Disturbs California Man Reading Up Americanization as the Mash Boils.,"Weiner, L, arrested",https://www.nytimes.com/1925/04/12/archives/citizenship-student-arrested-at-his-still-sheriff-disturbs.html,1925-04-12T05:00:00+0000,Archives,Archives,California Man
505,"HUNT PRESIDENTIAL TIMBER IN WEST; Hiram Johnson Now Groomed for Race in 1920, Says Meyer Lissner. STANDS NEXT TO COLONEL California Man Sees His Senator as Candidate After Talk with Hays --Roosevelt May Control. ",,https://www.nytimes.com/1918/10/06/archives/hunt-presidential-timber-in-west-hiram-johnson-now-groomed-for-race.html,1918-10-06T05:00:00+0000,Archives,Archives,California Man
506,"LATEST DEALINGS IN THE REALTY FIELD; Sale Pending for Purchase of Electrical Exchange Building on Washington Street.PROPERTY PUT AT $400,000 Investor Buys Bronx ApartmentHouse Held at $65,000--The Suburban Market Active. Quick Profit on Pearl Street Parcel. Water Street Warehouse Site. Resells Three Dwellings. Bronx Apartment Sale. American Chicle Co. Sells Plant. Brooklyn. Buying at Howard Beach. Saered Heart Mission Sisters Buy Estate. Adirondack Estate Sold to California Man. New Jersey.",,https://www.nytimes.com/1918/06/16/archives/latest-dealings-in-the-realty-field-sale-pending-for-purchase-of.html,1918-06-16T05:00:00+0000,Archives,Archives,California Man
507,WRITES PRAISE OF OSBORNE.; California Man Tells Grand Jurors Warden's System Is the Best.,vs. Yale,https://www.nytimes.com/1915/12/24/archives/writes-praise-of-osborne-california-man-tells-grand-jurors-wardens.html,1915-12-24T05:00:00+0000,Archives,Archives,California Man
508,MRS. DIGGS HEARS THE 'OTHER WOMAN'; Wife of Convicted California Man Faces Marsha Warrington at Caminetti Trial.,testimony of Marsha Warrington,https://www.nytimes.com/1913/08/29/archives/mrs-diggs-hears-the-other-woman-wife-of-convicted-california-man.html,1913-08-29T05:00:00+0000,Archives,Archives,California Man
509,BURIED THE WRONG CORPSE.; California Man Thinks It Was Not His Son Interred.,,https://www.nytimes.com/1899/07/23/archives/buried-the-wrong-corpse-california-man-thinks-it-was-not-his-son.html,1899-07-23T05:00:00+0000,Archives,Archives,California Man
510,DOUBLE MURDER AND SUICIDE.; A California Man Kills His Wife and Her Mother and Then Himself. ,,https://www.nytimes.com/1898/11/14/archives/double-murder-and-suicide-a-california-man-kills-his-wife-and-her.html,1898-11-14T05:00:00+0000,Archives,Archives,California Man
511,"FOUND RICH IN ALASKA.; News from John H. Johnson, a California Man, Missing for Two Years. ",,https://www.nytimes.com/1897/11/22/archives/found-rich-in-alaska-news-from-john-h-johnson-a-california-man.html,1897-11-22T05:00:00+0000,Archives,Archives,California Man
512,MISSING OVER A WEEK.; SUDDEN DISAPPEARANCE OF A CALIFORNIA MAN IN CHICAGO.,Disappearance,https://www.nytimes.com/1891/05/18/archives/missing-over-a-week-sudden-disappearance-of-a-california-man-in.html,1891-05-18T05:00:00+0000,Archives,Archives,California Man
513,"THAT ""MURCHISON"" LETTER; THE ALLEGED CORRESPONDENT OF LORD SACKVILLE.A CALIFORNIA MAN SAYS HE ENTRAPPED THE BRITISH MINISTER AND WANTS HARRISON TO KNOW IT.","""Murchison"" Letter; G. Osgoodley Identified as Author",https://www.nytimes.com/1889/01/09/archives/that-murchison-letter-the-alleged-correspondent-of-lord-sackvillea.html,1889-01-09T05:00:00+0000,Archives,Archives,California Man
